UID,Good_Bad,CUSTOMER_PROFILE_CODE,LOCATIONNAME,VEHICLEMODEL,ASSETCOST,LOANAMOUNT,EMI,TENURE,ADDRESSCONFIRMED,DESIGNATION,RESIDENCETYPE,NOOFYEARSINSAMECITY,RESIDENCESTABILITY,RESIDENCELOCALITY,BUSINESSCATEGORY,BUSINESSMARGINGROSS,INCOMEEMPLOYMENT,STABILITYINBUSINESS,STABILITYCONFIRMED,STABILTIYCONFIRMEDTHRU,ISFAMILYINVOLVED,OFFICETYPE,MONTHLYTURNOVER,STOCKVALUEINHAND,BUSINESSMARGINNET,NOOFEMPLOYEES,NAMEBOARDSEEN,OFFICELOCALITY,ISRESIDENCECOMEOFFICE,ENDUSEOFLOAN,ENDUSEOFASSET,ASSETLOCATION,NEIGHBOURREF,POLITICALLINK,PROFESSIONTYPE,CURRENTBUSINESSSTABILITY,APPLICANTDESIGNATION,ASSETREGMONTH,ASSETREGYEAR,LANDOWNERSHIP,IRRIGATIONSOURCE,CROPSCULTIVATED,DISTFROMSCELOCATION,DISTFROMDEALERLOCATION,IMGCONFIRM,TOTALEXPENSEPERMONTH,NETINCOMEPERMONTH,FOIR
974,Good,PROF207,JABALPUR ,MARUTI SUZUKI EECO 5 STR AC PETROL LPG 2011,200000,154250,4307,48,Y,SELF,O,10,10,3,PR005,0,20000,10,Y,6,N,R,0,0,0,0,Y,2,N,FOR PURCHASING VEHICLE,1,JABALPUR,POSITIVE,N,SEP,10,PROPREITOR,,0,,,,0,0,Y,7000,13000,33
975,Good,PROF305,VIJAYAWADA,MARUTI SUZUKI SWIFT VDI DIESEL 2012,400000,354250,14681,30,Y,APPLICANT ,O,25,25,3,PR005,0,100000,5,Y,1,N,R,0,0,0,6,Y,2,N,LOAN FOR VEHICLE PURCHASE ,1,CHEBROLU,POSITIVE,N,SEP,5,PROPRIETOR ,,0,,,,0,0,Y,60000,40000,37
976,Good,PROF094,TRICHY ,TOYOTA INNOVA 2.5 VX 8 STR BS IV DIESEL 2011,900000,708500,21787,48,Y,APPLICANT,O,15,15,3,PR005,40,65000,9,N,1,N,R,300000,150000,35,1,Y,2,N,APPLICANT,1,PUDUKKOTTAI,POSITIVE,N,SEP,9,PROPREITOR,,0,,,,0,0,Y,10000,55000,40
977,Good,PROF278,NASIK,TOYOTA INNOVA 2.5 V 8 STR DIESEL 2013,1281000,858500,22512,60,Y,OWNER,O,25,4,3,PR005,0,70000,15,Y,5,N,O,0,0,0,1,N,1,Y,FOR PERSONAL USE,1,NASHIK CITY,POSITIVE,N,SEP,15,OWNER,,0,,,,0,0,Y,0,70000,32
978,Bad,PROF299,CALICUT,TOYOTA FORTUNER 3.0 MT 4X2 DIESEL 2011,1700000,1100000,39494,36,Y,APPLICANT,O,30,15,3,PR005,0,300000,10,N,1,N,O,5000000,0,0,150,Y,2,N,TO INVEST IN BUSINESS (RE-FINANCE).,1,THRISSUR,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,0,300000,13
979,Good,PROF277,BANGALORE ,TOYOTA FORTUNER 3.0 MT 4X4 DIESEL 2010,750000,708500,26689,36,Y,HIRER,O,10,5,3,PR005,0,60000,10,Y,5,N,O,0,0,20,0,N,1,Y,PERSONAL USE,1,BANGALORE,POSITIVE,N,SEP,5,PROP,,0,,,,0,0,Y,15000,45000,59
980,Good,PROF227,TRICHY ,CHEVROLET TAVERA LS B3 10 STR BS II DIESEL 2010,400000,354250,10412,48,Y,APPLICANT ,O,31,30,3,PR005,30,65000,20,Y,5,Y,O,65000,70000,20,6,N,2,N,FAMILY  USE,1,THIMMACHIPURAM,POSITIVE,N,SEP,10,BAKKARY SHOP,,0,,,,0,0,Y,10000,55000,19
981,Good,PROF109,VIJAYAWADA,MAHINDRA XUV500 W8 DIESEL 2012,750000,700000,18545,60,Y,SON,O,30,10,6,PR005,0,128000,30,N,1,N,O,0,0,0,2,Y,2,N,CAR PURCHASE,2,MANGALAGIRI,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,45000,83000,22
982,Bad,PROF124,ERNAKULAM,MARUTI SUZUKI ALTO 800 LXI PETROL 2013,270000,170000,5174,48,Y,APPLICANT,O,43,10,3,PR006,0,40000,16,N,,N,R,0,0,0,5,N,2,N,USED CAR LOAN,1,KOTTAYAM,POSITIVE,N,SEP,15,ELECRICAL CONTRACTOR,,0,,,,0,0,Y,10000,30000,17
983,Good,PROF227,HYDERABAD,HONDA JAZZ 1.2 MT I VTEC PETROL 2015,550000,504250,13220,60,Y,SREEKANTH BOYAPATI,R,30,2,3,PR002,0,75000,8,Y,5,N,O,0,0,0,100,Y,2,N,APPLICANT,1,,POSITIVE,N,SAL,2,MANAGER,,0,,,,0,0,Y,0,75000,18
984,Bad,PROF211,UDAIPUR,MARUTI SUZUKI 800 AC PETROL 2009,130000,97500,4940,24,Y,SELF,O,25,4,3,PR005,0,60000,25,N,5,Y,O,0,0,0,1,Y,1,N,VEHICLE PURCHSAE,1,UDAIPUR,POSITIVE,N,SEP,5,PRORPEITOR,,0,,,,0,0,Y,28000,32000,15
985,Good,PROF235,CALICUT,MARUTI SUZUKI ALTO LXI BS IV PETROL 2011,225000,128000,4757,36,Y,APPLICANT,O,25,20,3,PR004,0,60000,8,Y,5,N,R,0,0,0,2,Y,2,N,HOUSE RENOVATION,1,CALICUT,POSITIVE,N,SEP,6,PARTNER,,0,,,,0,0,Y,25000,35000,14
986,Good,PROF245,HUBLI,MARUTI SUZUKI SWIFT DZIRE ZDI DIESEL 2013,500000,404250,15441,36,Y,APPLICANT ,O,20,20,3,PR006,30,70000,15,N,,N,O,150000,300000,20,1,N,1,Y,PERSONAL USE,1,GANGAVATHI ,POSITIVE,N,SEP,15,OWNER ,,0,,,,0,0,Y,35000,35000,61
987,Good,PROF300,VISAKHAPATNAM,HONDA AMAZE 1.5 EXMT I DTEC DIESEL 2013,600000,400000,14865,36,Y,SELF,R,10,1,3,PR005,20,50000,5,N,1,N,R,500000,500000,20,2,Y,2,N,SELF,1,TANUKU,POSITIVE,N,SEP,5,PROPRIETOR,,0,,,,0,0,Y,,,NA
988,Bad,PROF025,CHENNAI I,MAHINDRA XUV500 W10 FWD DIESEL 2015,1500000,162750,3934,60,Y,BORROWER,O,15,13,3,PR003,0,100000,10,N,1,Y,R,0,0,0,9,Y,1,N,APPLICANT,1,CHENNAI,POSITIVE,N,SEP,2, DIRECTOR,,0,,,,0,0,Y,0,100000,4
989,Good,PROF176,LUDHIANA,TOYOTA INNOVA 2.5 E 7 STR DIESEL 2011,850000,500000,17500,36,N,ONLY OFFICE PD DONE ,L,3,3,3,PR005,0,75000,5,N,5,N,L,0,0,0,3,Y,2,N,SELF ,1,,POSITIVE,N,SEP,5,PROP,,0,,,,0,0,Y,0,75000,23
990,Good,PROF252,INDORE ,MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2013,550000,504250,13447,60,Y,PROPERITOR,O,20,20,3,PR007,0,60000,15,Y,5,N,O,0,0,0,3,N,2,N,USE OF FUND VEHICLE PURCHASE,1,KAMPEL INDORE,POSITIVE,N,AGR,15,PROPERITORSHIP,,0,,,,0,0,Y,15000,45000,30
991,Good,PROF245,VIJAYAWADA,MAHINDRA BOLERO ZLX DIESEL 2014,650000,604250,15610,60,Y,APPT HUSBAND,O,50,20,3,PR005,0,360000,25,Y,5,N,O,1200000,200000,0,5,Y,2,N,APPT ,2,NELLORE ,POSITIVE,N,SEP,17,PROPRIETOR,,0,,,,0,0,Y,50000,310000,5
992,Bad,PROF100,MADURAI,MARUTI SUZUKI SWIFT VDI DIESEL 2007,350000,254250,6755,60,Y,APPLICANT,R,15,3,3,PR005,0,60000,15,N,5,Y,R,0,0,0,1,Y,2,N,OWN USE,1,,POSITIVE,N,SEP,15,PROPREITOR,,0,,,,0,0,Y,0,60000,11
993,Bad,PROF252,AURANGABAD,MAHINDRA SCORPIO VLX 2WD BS IV DIESEL 2010,450000,304250,8874,48,Y,SELF,R,10,5,3,PR009,0,770000,10,N,6,Y,O,0,0,0,2,Y,1,Y,SALE PURCHASE ,1,,POSITIVE,N,AGR,10,FARMER ,,0,,,,0,0,Y,0,770000,1
994,Good,PROF124,BANGALORE ,TOYOTA INNOVA 2.5 V 8 STR DIESEL 2014,550000,504250,14943,48,Y,HIRER,L,20,10,3,PR005,35,100000,4,Y,5,N,O,200000,50000,20,2,N,1,Y,TO HAVE ASSET FOR FAMILY,1,BANGALORE,POSITIVE,N,SEP,4,PROP,,0,,,,0,0,Y,35000,65000,23
995,Good,PROF207,INDORE,MARUTI SUZUKI ALTO K10 LXI PETROL 2010,185000,154250,5500,36,Y,SELF,O,30,30,3,PR005,0,40000,20,Y,1,Y,O,0,0,0,3,Y,2,N,SELF USE,1,INDORE,POSITIVE,N,SEP,20,PROPREITOR,,0,,,,0,0,Y,0,40000,14
996,Bad,PROF235,GWALIOR ,TOYOTA INNOVA 2.5 G 7 STR BS III DIESEL 2014,1100000,800000,19334,60,Y,APPLICANT,O,30,30,3,PR005,0,101000,7,Y,5,N,R,0,0,0,2,Y,2,N,VEHICLE PURCHASE,1,HOSHANGABAD,POSITIVE,N,SEP,7,DISTRIBUTER ,,0,,,,0,0,Y,30000,71000,27
997,Bad,PROF308,KOLKATA,MAHINDRA SCORPIO VLX BS IV DIESEL 2012,1100000,204250,7666,36,Y,SELF,O,26,26,3,PR003,0,20000,7,Y,5,N,O,0,0,0,0,Y,1,Y,0,1,,POSITIVE,N,SEP,7,SELF,,0,,,,0,0,Y,5000,15000,51
998,Good,PROF397,ERNAKULAM,MARUTI SUZUKI ALTO 800 ALTO 800 VXI PETROL 2013,275000,179250,5483,48,Y,APLLICANT,O,30,30,3,PR006,0,43000,9,Y,5,N,O,0,0,0,3,N,1,Y,RE FINANCE,1,,POSITIVE,N,SEP,1,WELDING CONTRACTOR,,0,,,,0,0,Y,11500,31500,26
999,Good,PROF245,MYSORE,HYUNDAI SANTRO GLS I EURO I PETROL 2008,195000,104250,5383,24,Y,APPLICANT ,L,10,10,3,PR005,0,45000,10,N,5,N,L,350000,0,0,1,Y,1,N,HASSAN,1,HASSAN,POSITIVE,N,SEP,10,GINGER MARCHANT ,,0,,,,0,0,Y,15000,30000,18
1000,Good,PROF321,PUNE,MARUTI SUZUKI CIAZ ZDI DIESEL 2015,750000,608500,15948,60,Y,PROP,O,25,25,3,PR005,0,40000,2,Y,1,N,R,0,0,0,2,Y,2,N,BUSINESS INVESTMENT,1,PUNE,POSITIVE,N,SEP,2,PROP,,0,,,,0,0,Y,0,40000,40
1001,Good,PROF383,CHENNAI I,TOYOTA INNOVA 2.5 G4 8 STR DIESEL 2011,820000,720000,19482,60,Y,COBORROWER ,O,20,10,3,PR005,0,115000,10,Y,5,Y,R,0,0,0,2,Y,1,N,APPLICANT,1,CHENNAI,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,22000,93000,26
1002,Good,PROF213,RAIPUR ,MAHINDRA SCORPIO S10 DIESEL 2014,775000,528500,15415,48,Y,SELF,O,8,25,3,PR001,0,72785,20,N,4,N,O,0,0,0,5,Y,2,N,PERSONAL & FAMILY USAGE,1,KORBA ,POSITIVE,N,SAL,20,ELECTRICAN,,0,,,,0,0,Y,25000,47785,32
1003,Good,PROF252,INDORE,MAHINDRA BOLERO DI DIESEL 2008,295000,234250,6823,48,Y,,,,,,,0,,0,N,,N,,0,0,0,0,Y,,,,,,POSITIVE,,,,,,0,,,,0,0,N,0,0,0
1004,Good,PROF176,KARIMNAGAR,MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2012,300000,204250,10196,24,Y,OWNED,O,19,19,3,PR006,0,30000,5,Y,5,N,O,0,0,0,1,N,2,Y,CAR LOAN,1,RAMAGUNDAM ,POSITIVE,N,SEP,5,OWNED,,0,,,,0,0,Y,8000,22000,46
1005,Good,PROF227,NAGPUR,HYUNDAI I10 ERA 1.1 1RDE2 PETROL 2010,400000,204250,6128,48,Y,SELF,O,24,24,1,PR002,0,20811,2,Y,1,N,L,20811,0,0,0,Y,2,N,PERSONAL,1,NAGPUR,POSITIVE,N,SAL,2,DY PRODUCTION MANAGER,,0,,,,0,0,Y,0,20811,29
1006,Good,PROF382,DELHI,RENAULT DUSTER RXL DIESEL 110 DIESEL 2014,875000,410000,20818,24,Y,PROP,O,25,5,3,PR005,0,50000,5,Y,5,Y,O,0,0,0,3,Y,2,N,PERSONAL,2,,POSITIVE,N,SEP,5,PROP,,0,,,,0,0,Y,0,50000,42
1007,Good,PROF096,KOLHAPUR,TOYOTA FORTUNER 3.0 MT 4X2 DIESEL 2012,1300000,1112750,28988,60,Y,APP SELF MET,O,30,30,3,PR005,0,600000,20,N,,N,O,0,0,0,16,N,1,N,VEH USED FOR PERSONEL AND SELF BUSINESS PURPOSE,1,KARAD,POSITIVE,N,SEP,20,PROPRITOR,,0,,,,0,0,Y,310000,290000,47
1008,Bad,PROF109,KARIMNAGAR,TATA INDICA VISTA VX QUADRAJET DIESEL 2013,380000,334250,11310,42,Y,CO APPLICANT,O,40,5,3,PR005,0,100000,10,N,,N,O,0,0,0,0,N,1,Y,CO APPLICANT,2,HANAMAKONDA,POSITIVE,N,SEP,10,PROPRITOR,,0,,,,0,0,Y,20581,79419,24
1009,Good,PROF223,JABALPUR ,MAHINDRA BOLERO SLX 4WD DIESEL 2009,400000,214250,7855,36,Y,SELF,O,33,33,3,PR006,60,45000,12,Y,5,N,R,60000,200000,55,0,Y,2,N,VEHICLE ADVANCE AMOUNT PAID & VEHICLE TRANSFER  PAY BALANCE AMOUNT 02 LACKS,1,REWA,POSITIVE,N,SEP,8,PROP,,0,,,,0,0,Y,8000,37000,21
1010,Good,PROF252,RAIPUR ,HYUNDAI I10 SPORTZ 1.2 AT PETROL 2009,235000,134250,5510,30,Y,SELF,O,50,50,3,PR008,0,25000,35,N,5,Y,O,0,0,0,0,Y,1,N,PERSONAL USAGE,2,BILASPUR,POSITIVE,N,AGR,35,FARMER,,0,,,,0,0,Y,12000,13000,42
1011,Good,PROF150,TRICHY,RENAULT DUSTER RXL PACK DIESEL 85 DIESEL 2012,600000,504250,15338,48,Y,APPLICANT,O,25,22,3,PRO20,0,174000,20,Y,6,N,O,0,0,0,0,N,1,Y,FAMILY USE,1,,POSITIVE,N,PEN,22,PENSIONER,,0,,,,0,0,Y,25000,149000,10
1012,Good,PROF252,VIJAYAWADA,MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2013,600000,404250,14615,36,Y,APPLICANT,O,25,25,3,PR005,0,185000,25,N,,N,O,0,0,0,2,Y,2,Y,USED CAR PUCHASE,1,JAGGAIAHPET,POSITIVE,N,SEP,25,PROPREITOR,,0,,,,0,0,Y,65000,120000,12
1013,Good,PROF252,MYSORE,MARUTI SUZUKI OMNI E MPI STD PETROL 2014,230000,184250,6884,36,Y,HOUSEWIFE,O,35,25,4,PR008,80,55000,25,Y,5,N,O,60000,50000,70,1,N,2,N,APPLICANT,1,,POSITIVE,N,AGR,25,AGRICULTURE,,0,,,,0,0,Y,16000,39000,18
1014,Bad,PROF252,RAIPUR ,MARUTI SUZUKI SWIFT DZIRE VXI 1.2 BS IV PETROL 2014,600000,454250,14007,48,Y,OWNER,O,40,20,3,PR006,30,500000,20,N,6,N,O,500000,1200000,20,100,Y,1,N,PERSONNAL USE,1,RAIPUR,POSITIVE,N,SEP,20,OWNER,,0,,,,0,0,Y,30000,470000,3
1015,Good,PROF326,TIRUNELVELI ,MAHINDRA XYLO E8 BS IV DIESEL 2009,425000,309250,11683,36,Y,APPLICANT,O,2,2,3,PR005,0,60000,4,Y,5,N,O,0,0,0,2,Y,1,N,FAMILY,1,,POSITIVE,N,SEP,4,PROPREITOR,,0,,,,0,0,Y,0,60000,19
1016,Good,PROF026,HYDERABAD,MARUTI SUZUKI ALTO VXI PETROL 2011,250000,200000,7389,36,Y,DOCTOR,O,15,7,3,PR006,0,50000,10,Y,1,N,R,0,0,0,0,Y,2,N,APPLICANT,1,HYDERABAD ,POSITIVE,N,SEP,10,DOCTOR ,,0,,,,0,0,Y,10000,40000,18
1017,Good,PROF227,PUNE,TOYOTA ETIOS GD SP DIESEL 2013,800000,600000,15500,60,Y,WIFE AND CO APPLICANT,O,2,2,3,PR002,0,4.1,2,Y,1,N,O,0,0,0,0,N,2,N,SELF OWNED,1,PUNE,POSITIVE,N,SAL,2,PROJECT MANAGER,,0,,,,0,0,Y,,,NA
1018,Good,PROF096,JAIPUR,MAHINDRA BOLERO ZLX BS IV DIESEL 2014,350000,304250,15974,24,Y,SELF,O,10,8,3,PR006,0,50000,10,Y,6,N,O,0,0,0,18,N,1,Y,PERSONAL USE,1,,POSITIVE,N,SEP,10,ONWAR,,0,,,,0,0,Y,8000,42000,38
1019,Good,PROF176,NAGPUR,CHEVROLET TAVERA NEO LS B3 10 STR BS III DIESEL 2013,700000,608500,15776,60,Y,SELF,R,10,5,3,PR007,0,50000,5,Y,1,N,R,0,0,0,0,Y,1,Y,TAXI USE,1,,POSITIVE,N,AGR,5,FARMER ,,0,,,,0,0,Y,0,50000,32
1020,Bad,PROF176,JAIPUR,MARUTI SUZUKI SWIFT DZIRE LDI DIESEL 2015,600000,550000,13750,60,Y,PROPRIETOR,O,24,8,3,PR005,0,120000,5,Y,5,N,R,0,0,0,2,Y,2,N,VEHICLE PURCHAE,1,JAIPUR,POSITIVE,N,SEP,5,PROPRIETOR,,0,,,,0,0,Y,40000,80000,17
1021,Good,PROF347,DEHRADUN,MARUTI SUZUKI WAGON R LXI PETROL 2015,400000,304250,8010,60,Y,APPLICANT,O,28,28,3,PR005,0,55000,12,Y,2,N,O,0,0,0,2,Y,1,N,PERSONAL USE,1,DEHRADUN,POSITIVE,N,SEP,6,PROP,,0,,,,0,0,Y,35000,20000,70
1022,Good,PROF289,VISAKHAPATNAM,HYUNDAI I20 SPORTZ 1.2 BS IV PETROL 2015,400000,354250,12628,36,Y,self,O,30,25,4,PR005,0,159000,25,Y,1,Y,O,0,0,0,3,Y,2,N,SELF,1,NARASAPURAM,POSITIVE,N,SEP,30,PROPRITER,,0,,,,0,0,Y,70000,89000,14
1023,Good,PROF235,BANGALORE,MARUTI SUZUKI SWIFT ZDI DIESEL 2014,550000,504250,12607,60,Y,APPLICANT,O,20,6,3,PR005,0,100000,4,Y,1,N,R,100000,0,0,4,Y,2,N,APPLICANT,1,BANGLORE,POSITIVE,N,SEP,0.4,PROPREITOR,,0,,,,0,0,Y,42000,58000,35
1024,Good,PROF252,INDORE,MAHINDRA QUANTO C4 DIESEL 2013,550000,484250,12107,60,Y,OWNER,O,40,40,3,PR007,0,148300,25,N,5,N,O,0,0,0,0,N,1,Y,PERSONAL USE,1,DATODA,POSITIVE,N,AGR,25,OWNER SON,,0,,,,0,0,Y,78441,69859,17
1025,Good,PROF145,ALLAHABAD,MARUTI SUZUKI ALTO LXI BS II PETROL 2010,250000,204250,7385,36,Y,APPLICANT,O,13,13,3,PR006,25,26500,15,N,5,N,R,100000,150000,25,1,Y,2,N,BUSINESS EXPANSION,1,ALLAHABAD,POSITIVE,N,SEP,3,OWNER,,0,,,,0,0,Y,12000,14500,51
1026,Good,PROF247,KARIMNAGAR,MARUTI SUZUKI ERTIGA VDI DIESEL 2013,700000,608500,19270,48,Y,OWNED ,O,30,30,3,PR006,0,35000,10,Y,5,N,O,0,0,0,1,N,2,N,CAR LOAN ,3,RAMAGUNDAM ,POSITIVE,N,SEP,10,OWNED ,,0,,,,0,0,Y,0,35000,55
1027,Good,PROF252,KOLHAPUR,TOYOTA INNOVA 2.5 V 7STR DIESEL 2007,400000,300000,11214,36,Y,APP AND CO APP MET,O,20,20,3,PR008,0,20000,15,N,,N,O,0,0,0,0,Y,1,Y,VEH USED FOR PERSONEL AND COMMERCIAL PURPOSE,1,SATARA,POSITIVE,N,AGR,15,AGRICULTURIST,,0,,,,0,0,Y,5000,15000,75
1028,Good,PROF227,ERNAKULAM,MARUTI SUZUKI ERTIGA VDI DIESEL 2013,725000,400000,10597,60,Y,APPLICANT,O,40,35,3,PR002,0,8000,10,Y,5,N,R,0,0,0,0,Y,2,N,VEHICLE PURCHASE,1,PULAMON,POSITIVE,N,SAL,10,ACCOUNTS,,0,,,,0,0,Y,,,NA
1029,Good,PROF311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Good,PROF360,MYSORE,TOYOTA FORTUNER 3.0 MT 4X2 DIESEL 2010,900000,800000,20000,60,Y,FATHER,O,30,30,3,PR005,85,120000,25,Y,5,N,O,1300000,5000000,75,15,Y,2,N,APPLICANT,1,,POSITIVE,N,SEP,25,PROPREITER,,0,,,,0,0,Y,50000,70000,41
1031,Bad,PROF208,AURANGABAD,MAHINDRA XUV500 W8 4X4 DIESEL 2012,1050000,458500,11654,60,Y,SELF ,O,40,25,3,PR005,30,300000,10,Y,1,Y,O,300000,0,50,5,Y,1,Y,SELF,1,AURANGABAD,POSITIVE,N,SEP,10,PROPRITER,,0,,,,0,0,Y,,,NA
1032,Good,PROF382,JAIPUR,MARUTI SUZUKI SWIFT DZIRE ZDI BS IV DIESEL 2013,400000,354250,13383,36,Y,OWNER,O,35,35,3,PR005,0,150000,10,Y,5,N,O,0,0,0,20,N,1,Y,PERSONAL USE,1,AJMER,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,100000,50000,27
1033,Good,PROF025,DELHI,HYUNDAI I20 MAGNA 1.2 PETROL 2011,475000,375000,11250,48,Y,ONLY OFFICE PD DONE,O,15,10,3,PR004,0,100,3,N,1,N,R,0,0,0,1,N,2,N,SELF,1,,POSITIVE,N,SEP,3,PARTNER,,0,,,,0,0,Y,,,NA
1034,Bad,PROF365,PUNE,MARUTI SUZUKI SWIFT VDI DIESEL 2010,400000,304250,11068,36,Y,BORROWER,R,9,8,3,PR006,45,50000,3,N,,N,R,150000,1500000,45,3,Y,1,Y,250000,1,,POSITIVE,Y,SEP,5,PROP,,0,,,,0,0,Y,0,50000,22
1035,Bad,PROF289,UDAIPUR,TOYOTA ETIOS GD DIESEL 2012,600000,504250,15548,48,Y,SELF,O,15,15,3,PR005,0,125000,10,Y,1,N,O,0,0,0,8,Y,2,N,SALE PURCHES,1,NATHUDWARA,POSITIVE,N,SEP,10,PROPREITOR,,0,,,,0,0,Y,50000,75000,21
1036,Good,PROF096,TIRUNELVELI ,MARUTI SUZUKI SWIFT VDI DIESEL 2013,600000,454250,14007,48,Y,APPLIACNT,O,40,40,3,PR007,0,40000,10,Y,5,N,L,0,0,0,1,N,1,Y,FAMILY,1,,POSITIVE,N,AGR,10,OWNER,,0,,,,0,0,Y,0,40000,35
1037,Bad,PROF252,BARODA,MARUTI SUZUKI RITZ VDI BS IV DIESEL 2012,463000,354250,9152,60,Y,SELF,O,30,30,3,PR007,30,60000,28,Y,6,N,O,60000,0,15,0,Y,2,N,PERSONAL USE,1,RESIDENCE,POSITIVE,N,AGR,28,PROPRIETOR,,0,,,,0,0,Y,45000,15000,61
1038,Good,PROF305,CHENNAI I,RENAULT DUSTER RXE DCI 85 HSRAWE BSIV DIESEL 2016,600000,504250,13397,60,Y,APPLICANT,R,30,3,3,PR005,0,257000,5,N,,N,R,0,0,0,9,Y,1,N,APPICANT,1,CHENNAI,POSITIVE,N,SEP,1,PROPREITOR,,0,,,,0,0,Y,0,257000,5
1039,Good,PROF207,AHMEDABAD,HYUNDAI I10 SPORTZ 1.2 PETROL 2012,350000,200000,7389,36,Y,APPLICANT,O,30,10,3,PR005,0,45000,40,Y,5,N,O,0,0,0,1,Y,2,N,PERSONAL,1,AHMEDABAD,POSITIVE,N,SEP,40,MINESH PARLOUR,,0,,,,0,0,Y,0,45000,16
1040,Good,PROF096,VISAKHAPATNAM,TOYOTA INNOVA 2.5 V 7STR DIESEL 2007,500000,404250,15437,36,Y,SELF,O,30,12,3,PR008,0,30000,12,Y,1,Y,O,0,0,0,1,Y,1,N,SELF,1,VIZAG,POSITIVE,N,AGR,12,SELF,,0,,,,0,0,Y,2000,28000,55
1041,Good,PROF207,HUBLI,HYUNDAI I20 ASTA 1.4 CRDI DIESEL 2011,450000,404250,10541,60,Y,APPLICANT,O,8,10,3,PR005,0,47000,10,N,5,N,O,40000,100000,0,0,Y,2,N,APPLICANT FOR PERSONAL USAGE,1,DHARWAD,POSITIVE,N,SEP,8,APPLICANT,,0,,,,0,0,Y,15000,32000,33
1042,Bad,PROF252,JABALPUR ,HYUNDAI EON ERA LPG PETROL 2013,300000,204250,8475,30,Y,SELF,O,10,10,3,PR007,0,40000,5,N,5,N,O,0,0,0,1,Y,1,N,PERSONAL USE,1,KARELI,POSITIVE,N,AGR,5,FARMER,,0,,,,0,0,Y,18000,22000,39
1043,Good,PROF252,NAGPUR,MARUTI SUZUKI ALTO LXI BS III PETROL 2009,200000,104250,5300,24,Y,SELF,O,45,45,3,PR007,0,30000,20,Y,1,Y,O,0,0,0,0,Y,2,Y,PERSONAL,1,KARANJA,POSITIVE,N,AGR,20,FARMER,,0,,,,0,0,Y,0,30000,18
1044,Good,PROF219,TIRUNELVELI ,MARUTI SUZUKI EECO 5 STR WITH AC PLUSHTR PETROL 2012,400000,204250,6298,48,Y,GURNTER,O,30,30,6,PR006,0,40000,7,Y,5,N,O,0,0,0,2,N,2,Y,FAMILY,1,,POSITIVE,N,SEP,7,OWNER ,,0,,,,0,0,Y,0,40000,16
1045,Good,PROF117,INDORE ,TATA INDIGO CS LS DICOR DIESEL 2012,500000,404250,10780,60,Y,SELF,O,34,34,3,PR006,0,41000,16,Y,5,N,O,0,0,0,2,Y,2,N,PERONAL USE,1,INDORE,POSITIVE,N,SEP,16,OWNER,,0,,,,0,0,Y,16891,24109,57
1046,Bad,PROF282,UDAIPUR,MARUTI SUZUKI SWIFT VDI ABS DIESEL 2011,450000,404250,10780,60,Y,SELF,O,38,38,3,PR005,0,70000,15,Y,5,N,O,0,0,0,0,N,1,Y,VEHICLE PURCHASE,1,UDAIPUR,POSITIVE,N,SEP,15,PROPRIETOR,,0,,,,0,0,Y,20000,50000,22
1047,Good,PROF245,BANGALORE,MARUTI SUZUKI SWIFT VDI DIESEL 2010,350000,304250,8963,48,Y,APPLICANT,O,30,30,3,PR005,0,45000,12,Y,5,N,R,35000,0,0,1,Y,1,N,APPLICANT,1,BANGLORE,POSITIVE,N,SEP,12,APPLICANT,,0,,,,0,0,Y,20000,25000,36
1048,Good,PROF382,NAGPUR,MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2009,250000,200000,7459,48,Y,SELF,O,10,10,3,PR005,0,50000,6,N,5,N,O,0,0,0,0,Y,1,N,PREMKUMAR VYANKATI BHAGAT ,1,CHANDRAPUR,POSITIVE,N,SEP,6,PROPERITOR,,0,,,,0,0,Y,6000,44000,17
1049,Good,PROF227,NASIK,MAHINDRA XYLO E4 BS III DIESEL 2011,400000,354250,9152,60,Y,FATHER,O,20,20,3,PR002,0,43000,9,Y,2,N,O,0,0,0,25,Y,2,N,APPLICANT SELF,1,NASIK,POSITIVE,N,SAL,9,DPI INCHARGE,,0,,,,0,0,Y,17000,26000,35
1050,Bad,PROF227,PONDICHERRY ,FORD FIESTA EXI 1.4 TDCI DIESEL 2010,390000,154250,7803,24,Y,APPLICANT,O,18,18,3,PR006,0,57000,6,N,,N,R,0,0,0,0,N,2,N,VEHICLE PURCHASE,1,PERIYA KATTUPALAYAM,POSITIVE,N,SEP,6,SELF,,0,,,,0,0,Y,13600,43400,23
